"CAMIS","DBA","BORO","BUILDING","STREET","ZIPCODE","PHONE","CUISINE DESCRIPTION","INSPECTION DATE","ACTION","VIOLATION CODE","VIOLATION DESCRIPTION","CRITICAL FLAG","SCORE","GRADE","GRADE DATE","RECORD DATE","INSPECTION TYPE","Latitude","Longitude","Community Board","Council District","Census Tract","BIN","BBL","NTA","Location"
"50182278","Madam Tang","Queens","37-09","COLLEGE POINT BOULEVARD","11354","9178619111",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.7600523645","-73.83484785189","407","20","087100","4620808","4049727505","QN22","POINT (-73.834847851894 40.760052364497)"
"50147228","SASSY","Manhattan","28","7 AVENUE SOUTH","10014","2126278838",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.73043710133","-74.00462920849","102","03","006700","1009800","1005830038","MN23","POINT (-74.004629208489 40.730437101332)"
"50164736","CHADA","Manhattan","260","6 AVENUE","10014","6466593569",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.72909497788","-74.00246789913","102","03","006500","1008295","1005260011","MN23","POINT (-74.002467899133 40.729094977878)"
"50104825","WENDY'S","Queens","1","MAIN TERMINAL",,"9173282791",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"0","0",,,,,"4",,
"50092462","THREES BREWING (Governors Island)","Manhattan","517","CLAYTON ROAD","10004","7185222110",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.69105356361","-74.01962370639","101","01","000500","1086421","1000010010","MN99","POINT (-74.019623706393 40.691053563611)"
"50184889","MAISON DES PRINCES","Manhattan","9","EAST   53 STREET","10022","9174190465",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.76018225855","-73.9752625191","105","04","010200","1035726","1012890008","MN17","POINT (-73.9752625191 40.760182258549)"
"41688132","SWEETS BAR","Brooklyn","620","ATLANTIC AVENUE","11217","9176186310","Bottled Beverages","01/25/2025","No violations were recorded at the time of this inspection.",,,"Not Applicable","0","A","01/25/2025","04/20/2026","Cycle Inspection / Initial Inspection","40.6834468969","-73.97569131218","302","35","012902","3398156","3011180001","BK37","POINT (-73.975691312176 40.683446896895)"
"50173757","THE LAMBS CLUB","Manhattan","132","WEST   44 STREET","10036","2129975262",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.75654702865","-73.98417941954","105","04","011900","1022617","1009960046","MN17","POINT (-73.984179419536 40.756547028651)"
"50061193","DUNKIN","Queens",,"JFK INTERNATIONAL AIRPORT","11430","3477207465","Donuts","06/17/2025","Violations were cited in the following area(s).","10G","Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.","Not Critical","10","A","06/17/2025","04/20/2026","Cycle Inspection / Initial Inspection",,,,,,,,,
"50155433","MISS NELLIE'S","Manhattan","321","WEST   44 STREET","10036","6463603012",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.75888344415","-73.98966915457","104","03","012100","1080878","1010350017","MN15","POINT (-73.989669154574 40.758883444152)"
"50167677","SRB BROOKLYN LLC","Brooklyn","177","2 AVENUE","11215","3475045950",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.66973375094","-73.99576073623","306","38","011700","3023311","3010320001","BK37","POINT (-73.995760736225 40.669733750937)"
"50172771","AZ&G INC","Queens","133-33","39 AVENUE","11354","7188198818",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.75910991972","-73.83416074911","407","20","087100","4000000","4049727504","QN22","POINT (-73.834160749112 40.759109919719)"
"50160701","NO CHEWING ALLOWED","Manhattan","1802","65TH STREET TRANSVERSE",,"9177706455",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"0","0",,,,,"1",,
"50111558","PIER SIDE CAFE","Manhattan","1","INTREPID SQ",,"9172843261",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"0","0",,,,,"1",,
"50174302","OBSESSION JERK CORP.","Queens","125-09","MERRICK BOULEVARD","11434","9295302345",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.68229310735","-73.76697280303","412","27","036800","4269899","4124850057","QN08","POINT (-73.766972803031 40.682293107349)"
"50177029","HARLEM POKE","Manhattan","370","LENOX AVENUE","10027","6463937553",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.81003783495","-73.94381203453","110","09","020800","1053712","1017260069","MN03","POINT (-73.943812034529 40.810037834945)"
"50171172","DELL'ANIMA","Manhattan","18","CORNELIA STREET","10014","9145232308",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.73151038283","-74.00186181621","102","03","006700","1077813","1005890017","MN23","POINT (-74.001861816213 40.731510382828)"
"50167423","FARMERS FRIDGE","Manhattan","1176","5 AVENUE","10029","3122290099",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.7896792578","-73.95445022223","111","08","016800","1083919","1016040006","MN33","POINT (-73.954450222229 40.7896792578)"
"50175193","DUE FRATELLI","Brooklyn","135","WYCKOFF AVENUE","11237","5168014807",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.70408341509","-73.91886049164","304","37","044500","3073933","3032490002","BK77","POINT (-73.918860491636 40.704083415091)"
"50101946","PALENQUE COLOMBIAN FOOD","Brooklyn","298","GRAHAM AVENUE","11211","7189541955","Spanish","04/04/2026","No violations were recorded at the time of this inspection.",,,"Not Applicable","0",,,"04/20/2026","Inter-Agency Task Force / Initial Inspection","40.71262099081","-73.94406039942","301","34","049500","3069260","3027777502","BK90","POINT (-73.944060399422 40.712620990813)"
"50184777","BY ANTIDOTE LLC","Manhattan","30","EAST   20 STREET","10003","9176670036",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.73892898939","-73.98922118869","105","02","005200","1016181","1008480053","MN13","POINT (-73.989221188693 40.738928989386)"
"50017147","HARRY'S DELI","Queens",,"LA GUARDIA AIRPORT","11369","9177171353","Jewish/Kosher","01/18/2018","Violations were cited in the following area(s).","09C","Food contact surface not properly maintained.","Not Critical","9","A","01/18/2018","04/20/2026","Cycle Inspection / Initial Inspection",,,,,,,,,
"50138422","Bronxlandia","Bronx","910","HUNTS POINT AVENUE","10474","9175335540",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.81977308954","-73.89015469212","202","17","011502","2006003","2027410001","BX27","POINT (-73.890154692115 40.819773089536)"
"50178186","PRET A MANGER","Queens",,"JFK TERMINAL    8","11430","6464760498",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,,,,,,,,,
"50076292","1 QUETZAL","Brooklyn","7210","NEW UTRECHT AVENUE","11228","9296669989","Mexican","09/28/2018","No violations were recorded at the time of this inspection.",,,"Not Applicable",,,,"04/20/2026","Smoke-Free Air Act / Re-inspection","40.61804960025","-73.9993156173","311","43","019000","3158364","3061910039","BK28","POINT (-73.999315617304 40.618049600245)"
"50160994","JEWEL BOX","Manhattan","244","EAST HOUSTON STREET","10002","9176472430",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.72205104325","-73.98570646348","103","02","003002","1075675","1003970065","MN22","POINT (-73.985706463483 40.722051043248)"
"50177344","YI CHAN YANG","Queens","133-35","ROOSEVELT AVENUE","11354","7184612871",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.75850199526","-73.83324180899","407","20","087100","4112276","4049730016","QN22","POINT (-73.833241808988 40.758501995257)"
"50180099","BARDUCK","Brooklyn","3100","OCEAN PARKWAY","11235","6465848800",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.57586067315","-73.96863914946","313","48","035602","3196598","3072820062","BK23","POINT (-73.968639149456 40.575860673145)"
"50154476","EDEN VALLEY GOLF LLC","0","10401","SISSON HWY","14057","6476321088",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,,,,,,,,,
"50163889","Damballa","Manhattan","895","BROADWAY","10003","9177471037",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.73892081205","-73.98984547329","105","03","005200","1080760","1008480015","MN13","POINT (-73.989845473293 40.738920812052)"
"50179588","XI ZHI YI ZU","Queens","37-11","MAIN STREET","11354","6467078500",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.7613203278","-73.83099665042","407","20","087100","4112473","4049780004","QN22","POINT (-73.830996650422 40.761320327799)"
"50168532","SNO BAR","Queens","142-51","ROCKAWAY BOULEVARD","11436","7188206733",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.67397042732","-73.79701770138","412","28","018200","4261338","4120390075","QN76","POINT (-73.79701770138 40.673970427322)"
"50183786","TAMARINDO","Manhattan","4250","BROADWAY","10033","6469344029",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.8498983586","-73.93601041848","112","10","027100","1081880","1021630053","MN35","POINT (-73.936010418476 40.849898358602)"
"50178597","A&Y ICE CREAM INC","Queens","171-15","NORTHERN BOULEVARD","11358","6467251888",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.75792734049","-73.79531341184","407","19","117500","4438197","4053500001","QN51","POINT (-73.795313411836 40.75792734049)"
"50176449","L'ARTIGIANO GELATO","Manhattan","250","GREENWICH STREET","10007","6462759984",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.71321318302","-74.01170889548","101","01","002100","1086510","1000840036","MN24","POINT (-74.011708895477 40.713213183023)"
"50169793","ALITTLE PINK","Manhattan","68","FRANKLIN STREET","10013","6166060658",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.71769591607","-74.00405474032","101","01","003300","1001939","1001750033","MN24","POINT (-74.004054740315 40.717695916068)"
"50163114","STREET VEGAN LLC","Manhattan","1","HERALD SQUARE","10001","9172151616",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.75054190782","-73.98754102176","105","04","010900","1089436","1008100045","MN17","POINT (-73.987541021756 40.750541907818)"
"50183658","MOLITO POBLANO, LLC","Brooklyn","1241","FLATBUSH AVENUE","11226","7186033560",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.64004576088","-73.95517971697","314","45","079000","3120332","3052100024","BK95","POINT (-73.955179716969 40.640045760879)"
"50180282","EL KAMBUCHE DE LOLA","Queens","54-06","ROOSEVELT AVENUE","11377","9293604241",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.744776501","-73.91035510206","402","26","025100","4030987","4013230087","QN63","POINT (-73.91035510206 40.744776501001)"
"50177142","NEWS FOOD HUUB INC.","Queens","258-15","HILLSIDE AVENUE","11004","7189902345",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.73699543722","-73.70990019862","413","23","157902","4179347","4087700001","QN44","POINT (-73.70990019862 40.736995437221)"
"50161812","SO SARAP","Manhattan","20","UNION SQUARE WEST","10003","9293239690",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.73660979179","-73.99067937838","105","02","005200","1016108","1008450002","MN13","POINT (-73.990679378381 40.736609791786)"
"50169230","RESTAURANT ASSOCIATES LLC","Manhattan","200","PARK AVENUE","10017","7043286780",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.7541550389","-73.97655693206","105","04","009200","1085735","1012809010","MN19","POINT (-73.976556932062 40.754155038895)"
"50172447","SHAWARMA BAY","Queens","83-30","PARSONS BOULEVARD","11432","9299773003",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.71489689353","-73.8076134128","408","24","023000","4145764","4067180159","QN35","POINT (-73.807613412797 40.714896893527)"
"50167169","BAR TIZIO","Manhattan","107","HORATIO STREET","10014","2129249700",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.73874524529","-74.00897810789","102","03","007900","1012154","1006430001","MN23","POINT (-74.008978107891 40.738745245288)"
"50184653","NANDITA INC.","Manhattan","36","W 110TH ST","10026","7183144001",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.79769259056","-73.95119412272","164","06","014300",,"1","MN99","POINT (-73.951194122724 40.797692590563)"
"50171821","CULTURE LAB LIC","Queens","5-25","46 AVENUE","11101","9172873093",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.74726187905","-73.9546814415","402","26","000100","4000035","4000260021","QN31","POINT (-73.954681441501 40.747261879054)"
"50182835","MOTT STREET BAKERY LLC","Manhattan","370","BROOME STREET","10013","6462459556",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.72014424868","-73.99593789505","102","01","004100","1007174","1004790040","MN24","POINT (-73.995937895051 40.720144248676)"
"50123693","BIRRIA LES TACOS","Manhattan","34.5","SAINT MARKS PL",,"9173611017","Mexican","08/26/2025","Violations were cited in the following area(s).","06E","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.","Critical","9",,,"04/20/2026","Cycle Inspection / Initial Inspection","0","0",,,,,"1",,
"41131002","TANGRA","Queens","3923","39TH PLACE",,"7187868181","Asian/Asian Fusion","02/18/2025","Violations were cited in the following area(s).","06F","Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.","Critical","12","A","02/18/2025","04/20/2026","Cycle Inspection / Re-inspection","0","0",,,,,"4",,
"50182349","YUE DIAN XUAN INC.","Manhattan","42","WEST   38 STREET","10018","3473888659",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.75154607216","-73.98415173771","105","04","008400","1015981","1008390070","MN17","POINT (-73.984151737711 40.751546072159)"
"50089572","WARNER MEDIA (BISTRO 35)","Queens","30","HUDSON YARDS",,"2124846114","American","08/04/2025","Violations were cited in the following area(s).","09B","Thawing procedure improper.","Not Critical","16",,,"04/20/2026","Cycle Inspection / Initial Inspection","0","0",,,,,"4",,
"50179455","JUS BY JULIE","Brooklyn","891","BEDFORD AVENUE","11205","9173270006",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.6934758899","-73.95591176174","303","33","024100","3048548","3017500006","BK75","POINT (-73.95591176174 40.6934758899)"
"50127350","STIAMI V.I.P LOUNGE","Queens","25-89","STEINWAY STREET","11103","9177326436",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.76750716594","-73.91203558987","401","22","014300","4011369","4006840009","QN70","POINT (-73.912035589868 40.767507165943)"
"50184703","LUXPIZZACA LLC","Manhattan","62","PRINCE STREET","10012","6465327701",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.7237289367","-73.99661954009","102","01","004300","1007547","1004960018","MN24","POINT (-73.996619540092 40.723728936696)"
"50067182","SIK GAEK","Queens","49-11","ROOSEVELT AVENUE","11377","7182054555","Korean","03/09/2026","Violations were cited in the following area(s).","09B","Thawing procedure improper.","Not Critical","22","Z","03/09/2026","04/20/2026","Cycle Inspection / Re-inspection","40.7432077488","-73.91562608169","402","26","025301","4001278","4001380001","QN31","POINT (-73.915626081691 40.743207748804)"
"50180714","K CITY","Manhattan","22","WEST   32 STREET","10001","6467615720",,"01/01/1900",,,,"Not Applicable",,,,"04/20/2026",,"40.74762687172","-73.9866537434","105","03","007600","1015828","1008330057","MN17","POINT (-73.986653743397 40.747626871722)"
